ID,URL,NAME,ADDRESS,CITY,SCHOOL TYPE,LEVEL CODE
4305,https://www.goodschools.com.au/compare-schools/in-east-ipswich-4305/ipswich-girls-grammar-school,Ipswich Girls' Grammar School,"East Ipswich, QLD",East Ipswich,Independent,c
4305,https://www.goodschools.com.au/compare-schools/in-east-ipswich-4305/ipswich-junior-grammar-school,Ipswich Junior Grammar School,"East Ipswich, QLD",East Ipswich,Independent,p
3079,https://www.goodschools.com.au/compare-schools/in-ivanhoe-3079/ivanhoe-girls-grammar-school,Ivanhoe Girls' Grammar School,"Ivanhoe, VIC, Melbourne Northern Suburbs",Ivanhoe,Independent,c
3800,https://www.goodschools.com.au/compare-schools/in-monash-university-3800/john-monash-science-school,John Monash Science School,"Monash University, VIC, Melbourne Eastern Suburbs",Monash University,Government,s
4127,https://www.goodschools.com.au/compare-schools/in-daisy-hill-4127/john-paul-college-daisy-hill,John Paul College,"Daisy Hill, QLD",Daisy Hill,Independent,c
2029,https://www.goodschools.com.au/compare-schools/in-rose-bay-2029/kambala,Kambala,"Rose Bay, NSW",Rose Bay,Independent,c
3204,https://www.goodschools.com.au/compare-schools/in-ormond-3204/kilvington-grammar-school,Kilvington Grammar School,"Ormond, VIC, Melbourne Southern Suburbs & Western Port",Ormond,Independent,c
4130,https://www.goodschools.com.au/compare-schools/in-carbrook-4130/kimberley-college,Kimberley College,"Carbrook, QLD",Carbrook,Independent,c
2029,https://www.goodschools.com.au/compare-schools/in-rose-bay-2029/kincoppal-rose-bay-school,Kincoppal - Rose Bay School,"Rose Bay, NSW",Rose Bay,Independent,c
3146,https://www.goodschools.com.au/compare-schools/in-glen-iris-3146/korowa-anglican-girls-school,Korowa Anglican Girls' School,"Glen Iris, VIC, Melbourne Eastern Suburbs",Glen Iris,Independent,c
3101,https://www.goodschools.com.au/compare-schools/in-kew-3101/genazzano-fcj-college,Genazzano FCJ College,"VIC, Melbourne Eastern Suburbs, KEW",,Independent,c
4500,https://www.goodschools.com.au/compare-schools/in-bray-park-4500/genesis-christian-college,Genesis Christian College,"Bray Park, QLD",Bray Park,Independent,c
2084,https://www.goodschools.com.au/compare-schools/in-terrey-hills-2084/german-international-school-sydney,German International School Sydney,"Terrey Hills, NSW",Terrey Hills,Independent,c
3754,https://www.goodschools.com.au/compare-schools/in-mernda-3754/gilson-college-mernda-campus,Gilson College - Mernda Campus,"Mernda, VIC, Melbourne Northern Suburbs",Mernda,Independent,c
3037,https://www.goodschools.com.au/compare-schools/in-taylors-hill-3037/gilson-college-taylors-hill-campus,Gilson College - Taylors Hill Campus,"Taylors Hill, VIC, Melbourne Western Suburbs",Taylors Hill,Independent,c
3550,https://www.goodschools.com.au/compare-schools/in-bendigo-3550/girton-grammar-school,Girton Grammar School,"Bendigo, VIC, Loddon-Mallee",Bendigo,Independent,c
4022,https://www.goodschools.com.au/compare-schools/in-rothwell-4022/grace-lutheran-college,Grace Lutheran College,"Rothwell, QLD",Rothwell,Independent,s
6055,https://www.goodschools.com.au/compare-schools/in-guildford-6055/guildford-grammar-school,Guildford Grammar School,"Guildford, WA",Guildford,Independent,c
3173,https://www.goodschools.com.au/compare-schools/in-keysborough-3173/haileybury-college,Haileybury,"Keysborough, VIC, Melbourne Southern Suburbs & Western Port",Keysborough,Independent,c
2259,https://www.goodschools.com.au/compare-schools/in-warnervale-2259/lakes-grammar-an-anglican-school,Lakes Grammar - An Anglican School,"Warnervale, NSW",Warnervale,Independent,c
3076,https://www.goodschools.com.au/compare-schools/in-epping-3076/lalor-north-secondary-college,Lalor North Secondary College,"Epping, VIC, Melbourne Northern Suburbs",Epping,Government,s
7248,https://www.goodschools.com.au/compare-schools/in-mowbray-heights-7248/launceston-church-grammar-school,Launceston Church Grammar School,"Mowbray Heights, TAS",Mowbray Heights,Independent,c
3143,https://www.goodschools.com.au/compare-schools/in-armadale-3143/lauriston-girls-school,Lauriston Girls' School,"Armadale, VIC, Melbourne Southern Suburbs & Western Port",Armadale,Independent,c
3173,https://www.goodschools.com.au/compare-schools/in-keysborough-3173/lighthouse-christian-college-keysborough,"Lighthouse Christian College, Keysborough","Keysborough, VIC, Melbourne Southern Suburbs & Western Port",Keysborough,Independent,c
3140,https://www.goodschools.com.au/compare-schools/in-lilydale-3140/lilydale-high-school,Lilydale High School,"Lilydale, VIC, Melbourne Eastern Suburbs",Lilydale,Government,s
6168,https://www.goodschools.com.au/compare-schools/in-warnbro-6168/living-waters-lutheran-college,Living Waters Lutheran College,"Warnbro, WA",Warnbro,Independent,c
3040,https://www.goodschools.com.au/compare-schools/in-essendon-3040/lowther-hall-anglican-grammar-school,Lowther Hall Anglican Grammar School,"Essendon, VIC, Melbourne Western Suburbs",Essendon,Independent,c
3136,https://www.goodschools.com.au/compare-schools/in-croydon-hills-3136/luther-college,Luther College,"Croydon Hills, VIC, Melbourne Eastern Suburbs",Croydon Hills,Independent,s
2323,https://www.goodschools.com.au/compare-schools/in-metford-2323/maitland-christian-school-ltd,Maitland Christian School,"Metford, NSW",Metford,Independent,c
3175,https://www.goodschools.com.au/compare-schools/in-bangholme-3175/cornish-college,Cornish College,"Bangholme, VIC, Melbourne Southern Suburbs & Western Port",Bangholme,Independent,c
3175,https://www.goodschools.com.au/compare-schools/in-dandenong-3175/dandenong-high-school,Dandenong High School,"Dandenong, VIC, Melbourne Southern Suburbs & Western Port",Dandenong,Government,s
