ID,URL,NAME,ADDRESS,CITY,SCHOOL TYPE,LEVEL CODE
828,https://www.goodschools.com.au/compare-schools/in-berrimah-828/haileybury-rendall-school,Haileybury Rendall School,"Berrimah, NT",Berrimah,Independent,c
810,https://www.goodschools.com.au/compare-schools/in-rapid-creek-810/the-essington-school-darwin,The Essington School Darwin,"Rapid Creek, NT",Rapid Creek,Independent,c
846,https://www.goodschools.com.au/compare-schools/in-adelaide-river-846/adelaide-river-school,Adelaide River School,"Adelaide River, NT",Adelaide River,Government,c
810,https://www.goodschools.com.au/compare-schools/in-alawa-810/alawa-primary-school,Alawa Primary School,"Alawa, NT",Alawa,Government,p
872,https://www.goodschools.com.au/compare-schools/in-engawala-872/alcoota-school,Alcoota School,"Engawala, NT",Engawala,Government,c
872,https://www.goodschools.com.au/compare-schools/in-ali-curung-872/alekarenge-school,Alekarenge School,"Ali Curung, NT",Ali Curung,Government,c
4825,https://www.goodschools.com.au/compare-schools/in-alpurrurulam-4825/alpurrurulam-school,Alpurrurulam School,"Alpurrurulam, NT",Alpurrurulam,Government,c
870,https://www.goodschools.com.au/compare-schools/in-alice-springs-870/alice-springs-school-of-the-air,Alice Springs School Of The Air,"Alice Springs, NT",Alice Springs,Government,c
885,https://www.goodschools.com.au/compare-schools/in-alyangula-885/alyangula-area-school,Alyangula Area School,"Alyangula, NT",Alyangula,Government,c
822,https://www.goodschools.com.au/compare-schools/in-umbakumba-822/alyarrmandumanja-umbakumba-school,Alyarrmandumanja Umbakumba School,"Umbakumba, NT",Umbakumba,Government,c
872,https://www.goodschools.com.au/compare-schools/in-mataranka-872/amanbidji-school,Amanbidji School,"Mataranka, NT",Mataranka,Government,p
