ID,URL,NAME,ADDRESS,CITY,SCHOOL TYPE,LEVEL CODE
4305,https://www.goodschools.com.au/compare-schools/in-east-ipswich-4305/ipswich-girls-grammar-school,Ipswich Girls' Grammar School,"East Ipswich, QLD",East Ipswich,Independent,c
4305,https://www.goodschools.com.au/compare-schools/in-east-ipswich-4305/ipswich-junior-grammar-school,Ipswich Junior Grammar School,"East Ipswich, QLD",East Ipswich,Independent,p
4127,https://www.goodschools.com.au/compare-schools/in-daisy-hill-4127/john-paul-college-daisy-hill,John Paul College,"Daisy Hill, QLD",Daisy Hill,Independent,c
4130,https://www.goodschools.com.au/compare-schools/in-carbrook-4130/kimberley-college,Kimberley College,"Carbrook, QLD",Carbrook,Independent,c
4500,https://www.goodschools.com.au/compare-schools/in-bray-park-4500/genesis-christian-college,Genesis Christian College,"Bray Park, QLD",Bray Park,Independent,c
4022,https://www.goodschools.com.au/compare-schools/in-rothwell-4022/grace-lutheran-college,Grace Lutheran College,"Rothwell, QLD",Rothwell,Independent,s
4500,https://www.goodschools.com.au/compare-schools/in-bray-park-4500/bray-park-state-high-school,Bray Park State High School,"Bray Park, QLD",Bray Park,Government,s
4000,https://www.goodschools.com.au/compare-schools/in-brisbane-4000/brisbane-girls-grammar-school,Brisbane Girls Grammar School,"Brisbane, QLD",Brisbane,Independent,s
4000,https://www.goodschools.com.au/compare-schools/in-brisbane-4000/brisbane-grammar-school,Brisbane Grammar School,"Brisbane, QLD",Brisbane,Independent,c
4556,https://www.goodschools.com.au/compare-schools/in-buderim-4556/buderim-mountain-state-school,Buderim Mountain State School,"Buderim, QLD",Buderim,Government,p
4213,https://www.goodschools.com.au/compare-schools/in-mudgeeraba-4213/mudgeeraba-creek-state-school,Mudgeeraba Creek State School,"Mudgeeraba, QLD",Mudgeeraba,Government,p
4053,https://www.goodschools.com.au/compare-schools/in-everton-park-4053/northside-christian-college,Northside Christian College,"Everton Park, QLD",Everton Park,Independent,c
4133,https://www.goodschools.com.au/compare-schools/in-waterford-4133/canterbury-college,Canterbury College,"Waterford, QLD",Waterford,Independent,c
4011,https://www.goodschools.com.au/compare-schools/in-clayfield-4011/clayfield-college,Clayfield College,"Clayfield, QLD",Clayfield,Independent,c
4350,https://www.goodschools.com.au/compare-schools/in-toowoomba-4350/concordia-lutheran-college,Concordia Lutheran College,"Toowoomba, QLD",Toowoomba,Independent,c
4064,https://www.goodschools.com.au/compare-schools/in-milton-4064/hubbards-school,Hubbard's School,"Milton, QLD",Milton,Independent,s
4556,https://www.goodschools.com.au/compare-schools/in-buderim-4556/matthew-flinders-anglican-college,Matthew Flinders Anglican College,"Buderim, QLD",Buderim,Independent,c
4179,https://www.goodschools.com.au/compare-schools/in-manly-west-4179/moreton-bay-boys-college,Moreton Bay Boys College,"Manly West, QLD",Manly West,Independent,c
4179,https://www.goodschools.com.au/compare-schools/in-manly-west-4179/moreton-bay-college,Moreton Bay College,"Manly West, QLD",Manly West,Independent,c
4059,https://www.goodschools.com.au/compare-schools/in-kelvin-grove-4059/queensland-academy-for-creative-industries,Queensland Academy for Creative Industries,"Kelvin Grove, QLD",Kelvin Grove,Government,s
4066,https://www.goodschools.com.au/compare-schools/in-toowong-4066/queensland-academy-for-science-mathematics-and-technology,Queensland Academy for Science Mathematics and Technology,"Toowong, QLD",Toowong,Government,s
4123,https://www.goodschools.com.au/compare-schools/in-rochedale-4123/redeemer-lutheran-college,Redeemer Lutheran College,"Rochedale, QLD",Rochedale,Independent,c
4700,https://www.goodschools.com.au/compare-schools/in-rockhampton-4700/rockhampton-girls-grammar-school,Rockhampton Girls Grammar School,"Rockhampton, QLD",Rockhampton,Independent,c
4017,https://www.goodschools.com.au/compare-schools/in-deagon-4017/sandgate-district-state-high-school,Sandgate District State High School,"Deagon, QLD",Deagon,Government,s
4101,https://www.goodschools.com.au/compare-schools/in-south-brisbane-4101/somerville-house,Somerville House,"South Brisbane, QLD",South Brisbane,Independent,c
4509,https://www.goodschools.com.au/compare-schools/in-north-lakes-4509/the-lakes-college,The Lakes College,"North Lakes, QLD",North Lakes,Independent,c
4300,https://www.goodschools.com.au/compare-schools/in-springfield-4300/the-springfield-anglican-college,The Springfield Anglican College,"QLD, SPRINGFIELD",,Independent,c
4870,https://www.goodschools.com.au/compare-schools/in-white-rock-4870/trinity-anglican-school,Trinity Anglican School,"White Rock, QLD",White Rock,Independent,c
4677,https://www.goodschools.com.au/compare-schools/in-agnes-water-4677/agnes-water-state-school,Agnes Water State School,"Agnes Water, QLD",Agnes Water,Government,p
4154,https://www.goodschools.com.au/compare-schools/in-wakerley-4154/agnew-school,Agnew School,"Wakerley, QLD",Wakerley,Independent,c
4104,https://www.goodschools.com.au/compare-schools/in-yeronga-4104/yeronga-state-high-school,Yeronga State High School,"Yeronga, QLD",Yeronga,Government,s
4214,https://www.goodschools.com.au/compare-schools/in-arundel-4214/ab-paterson-college,A.B. Paterson College,"Arundel, QLD",Arundel,Independent,c
4627,https://www.goodschools.com.au/compare-schools/in-abercorn-4627/abercorn-state-school,Abercorn State School,"Abercorn, QLD",Abercorn,Government,p
4850,https://www.goodschools.com.au/compare-schools/in-abergowrie-4850/abergowrie-state-school,Abergowrie State School,"Abergowrie, QLD",Abergowrie,Government,p
