ID,URL,NAME,ADDRESS,CITY,SCHOOL TYPE,LEVEL CODE
5038,https://www.goodschools.com.au/compare-schools/in-south-plympton-5038/emmaus-christian-college,Emmaus Christian College,"South Plympton, SA",South Plympton,Independent,c
5015,https://www.goodschools.com.au/compare-schools/in-new-port-5015/portside-christian-college,Portside Christian College,"New Port, SA",New Port,Independent,c
5000,https://www.goodschools.com.au/compare-schools/in-adelaide-5000/adelaide-high-school,Adelaide High School,"Adelaide, SA",Adelaide,Government,s
5008,https://www.goodschools.com.au/compare-schools/in-west-croydon-5008/adelaide-secondary-school-of-english,Adelaide Secondary School of English,"West Croydon, SA",West Croydon,Government,s
5159,https://www.goodschools.com.au/compare-schools/in-aberfoyle-park-5159/aberfoyle-hub-r-7-school,Aberfoyle Hub R-7 School,"Aberfoyle Park, SA",Aberfoyle Park,Government,p
5159,https://www.goodschools.com.au/compare-schools/in-aberfoyle-park-5159/aberfoyle-park-high-school,Aberfoyle Park High School,"Aberfoyle Park, SA",Aberfoyle Park,Government,s
5000,https://www.goodschools.com.au/compare-schools/in-adelaide-5000/adelaide-botanic-high-school,Adelaide Botanic High School,"Adelaide, SA",Adelaide,Government,s
5540,https://www.goodschools.com.au/compare-schools/in-port-pirie-5540/airdale-primary-school,Airdale Primary School,"Port Pirie, SA",Port Pirie,Government,p
5014,https://www.goodschools.com.au/compare-schools/in-queenstown-5014/alberton-primary-school,Alberton Primary School,"Queenstown, SA",Queenstown,Government,p
5154,https://www.goodschools.com.au/compare-schools/in-aldgate-5154/aldgate-primary-school,Aldgate Primary School,"Aldgate, SA",Aldgate,Government,p
5173,https://www.goodschools.com.au/compare-schools/in-aldinga-5173/aldinga-beach-b-7-school,Aldinga Beach B-7 School,"Aldinga, SA",Aldinga,Government,p
5009,https://www.goodschools.com.au/compare-schools/in-allenby-gardens-5009/allenby-gardens-primary-school,Allenby Gardens Primary School,"Allenby Gardens, SA",Allenby Gardens,Government,p
5291,https://www.goodschools.com.au/compare-schools/in-allendale-east-5291/allendale-east-area-school,Allendale East Area School,"Allendale East, SA",Allendale East,Government,c
872,https://www.goodschools.com.au/compare-schools/in-amata-872/amata-anangu-school,Amata Anangu School,"Amata, SA",Amata,Government,c
