ID,URL,NAME,ADDRESS,CITY,SCHOOL TYPE,LEVEL CODE
6055,https://www.goodschools.com.au/compare-schools/in-guildford-6055/guildford-grammar-school,Guildford Grammar School,"Guildford, WA",Guildford,Independent,c
6168,https://www.goodschools.com.au/compare-schools/in-warnbro-6168/living-waters-lutheran-college,Living Waters Lutheran College,"Warnbro, WA",Warnbro,Independent,c
6210,https://www.goodschools.com.au/compare-schools/in-greenfields-6210/foundation-christian-college,Foundation Christian College,"Greenfields, WA",Greenfields,Independent,c
6112,https://www.goodschools.com.au/compare-schools/in-forrestdale-6112/carey-baptist-college-forrestdale,"Carey Baptist College, Forrestdale","Forrestdale, WA",Forrestdale,Independent,c
6112,https://www.goodschools.com.au/compare-schools/in-harrisdale-6112/carey-baptist-college-harrisdale,"Carey Baptist College, Harrisdale","Harrisdale, WA",Harrisdale,Independent,c
6019,https://www.goodschools.com.au/compare-schools/in-wembley-downs-6019/hale-school,Hale School,"Wembley Downs, WA",Wembley Downs,Independent,c
6071,https://www.goodschools.com.au/compare-schools/in-glen-forrest-6071/helena-college-darlington-and-glen-forrest-campuses,Helena College - Darlington and Glen Forrest Campuses,"Glen Forrest, WA",Glen Forrest,Independent,c
6149,https://www.goodschools.com.au/compare-schools/in-bull-creek-6149/all-saints-college,All Saints' College,"Bull Creek, WA",Bull Creek,Independent,c
6152,https://www.goodschools.com.au/compare-schools/in-como-6152/penrhos-college,Penrhos College,"Como, WA",Como,Independent,c
6011,https://www.goodschools.com.au/compare-schools/in-peppermint-grove-6011/presbyterian-ladies-college-perth,Presbyterian Ladies' College - Perth,"Peppermint Grove, WA",Peppermint Grove,Independent,c
6012,https://www.goodschools.com.au/compare-schools/in-mosman-park-6012/st-hildas-anglican-school-for-girls-inc,St Hilda's Anglican School for Girls (Inc),"Mosman Park, WA",Mosman Park,Independent,c
6147,https://www.goodschools.com.au/compare-schools/in-langford-6147/al-ameen-college,Al-Ameen College,"Langford, WA",Langford,Independent,c
6230,https://www.goodschools.com.au/compare-schools/in-south-bunbury-6230/adam-road-primary-school,Adam Road Primary School,"South Bunbury, WA",South Bunbury,Government,p
6018,https://www.goodschools.com.au/compare-schools/in-karrinyup-6018/st-marys-anglican-girls-school,St Mary's Anglican Girls' School,"Karrinyup, WA",Karrinyup,Independent,c
6023,https://www.goodschools.com.au/compare-schools/in-duncraig-6023/st-stephens-school-duncraig,St Stephen's School,"Duncraig, WA",Duncraig,Independent,c
6056,https://www.goodschools.com.au/compare-schools/in-middle-swan-6056/swan-christian-college,Swan Christian College,"Middle Swan, WA",Middle Swan,Independent,c
6102,https://www.goodschools.com.au/compare-schools/in-bentley-6102/al-hidayah-islamic-school,Al-Hidayah Islamic School,"Bentley, WA",Bentley,Independent,p
6330,https://www.goodschools.com.au/compare-schools/in-albany-6330/albany-primary-school,Albany Primary School,"Albany, WA",Albany,Government,p
6330,https://www.goodschools.com.au/compare-schools/in-albany-6330/albany-senior-high-school,Albany Senior High School,"Albany, WA",Albany,Government,s
6030,https://www.goodschools.com.au/compare-schools/in-merriwa-6030/alkimos-baptist-college,Alkimos Baptist College,"Merriwa, WA",Merriwa,Independent,c
6038,https://www.goodschools.com.au/compare-schools/in-alkimos-6038/alkimos-beach-primary-school,Alkimos Beach Primary School,"Alkimos, WA",Alkimos,Government,p
6038,https://www.goodschools.com.au/compare-schools/in-alkimos-6038/alkimos-college,Alkimos College,"Alkimos, WA",Alkimos,Government,s
6038,https://www.goodschools.com.au/compare-schools/in-alkimos-6038/alkimos-primary-school,Alkimos Primary School,"Alkimos, WA",Alkimos,Government,p
6225,https://www.goodschools.com.au/compare-schools/in-allanson-6225/allanson-primary-school,Allanson Primary School,"Allanson, WA",Allanson,Government,p
6530,https://www.goodschools.com.au/compare-schools/in-geraldton-6530/allendale-primary-school,Allendale Primary School,"Geraldton, WA",Geraldton,Government,p
6064,https://www.goodschools.com.au/compare-schools/in-alexander-heights-6064/alinjarra-primary-school,Alinjarra Primary School,"Alexander Heights, WA",Alexander Heights,Government,p
6225,https://www.goodschools.com.au/compare-schools/in-collie-6225/amaroo-primary-school,Amaroo Primary School,"Collie, WA",Collie,Government,p
